CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_MUNICIPIO,NOMBRE_MUNICIPIO,CODIGO_DANE_MANZANA,CATEGORIA_MUNICIPIO,NIVEL_VULNERABILIDAD,TIPO_VULNERABILIDAD,IPM
11,BOGOTA,11001,BOGOTA,1100110000000011030129,ESPECIAL,Vulnerabilidad baja,1,1
11,BOGOTA,11001,BOGOTA,1100110000000011030130,ESPECIAL,Vulnerabilidad media-baja,2,31
11,BOGOTA,11001,BOGOTA,1100110000000011030131,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011030132,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011030133,ESPECIAL,Vulnerabilidad baja,1,5
11,BOGOTA,11001,BOGOTA,1100110000000011030134,ESPECIAL,Vulnerabilidad baja,1,17
11,BOGOTA,11001,BOGOTA,1100110000000011030136,ESPECIAL,Vulnerabilidad baja,1,13
11,BOGOTA,11001,BOGOTA,1100110000000011030137,ESPECIAL,Vulnerabilidad baja,1,5
11,BOGOTA,11001,BOGOTA,1100110000000011030138,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011030139,ESPECIAL,Vulnerabilidad baja,1,6
11,BOGOTA,11001,BOGOTA,1100110000000011030140,ESPECIAL,Vulnerabilidad baja,1,8
11,BOGOTA,11001,BOGOTA,1100110000000011030141,ESPECIAL,Vulnerabilidad baja,1,10
11,BOGOTA,11001,BOGOTA,1100110000000011030142,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011030143,ESPECIAL,Vulnerabilidad baja,1,13
11,BOGOTA,11001,BOGOTA,1100110000000011030144,ESPECIAL,Vulnerabilidad media-baja,2,0
11,BOGOTA,11001,BOGOTA,1100110000000011030145,ESPECIAL,Vulnerabilidad media-baja,2,18
11,BOGOTA,11001,BOGOTA,1100110000000011030146,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011030147,ESPECIAL,Vulnerabilidad baja,1,16
11,BOGOTA,11001,BOGOTA,1100110000000011030148,ESPECIAL,Vulnerabilidad baja,1,7
11,BOGOTA,11001,BOGOTA,1100110000000011030149,ESPECIAL,Vulnerabilidad baja,1,6
11,BOGOTA,11001,BOGOTA,1100110000000011030150,ESPECIAL,Vulnerabilidad baja,1,8
11,BOGOTA,11001,BOGOTA,1100110000000011030151,ESPECIAL,Vulnerabilidad media-baja,2,7
11,BOGOTA,11001,BOGOTA,1100110000000011030152,ESPECIAL,Vulnerabilidad baja,1,7
11,BOGOTA,11001,BOGOTA,1100110000000011030153,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011030155,ESPECIAL,Vulnerabilidad baja,1,13
11,BOGOTA,11001,BOGOTA,1100110000000011030156,ESPECIAL,Vulnerabilidad media-baja,2,46
11,BOGOTA,11001,BOGOTA,1100110000000011030158,ESPECIAL,Vulnerabilidad baja,1,10
11,BOGOTA,11001,BOGOTA,1100110000000011030202,ESPECIAL,Vulnerabilidad media-baja,2,11
11,BOGOTA,11001,BOGOTA,1100110000000011030203,ESPECIAL,Vulnerabilidad baja,1,11
11,BOGOTA,11001,BOGOTA,1100110000000011030204,ESPECIAL,Vulnerabilidad media,3,6
11,BOGOTA,11001,BOGOTA,1100110000000011030205,ESPECIAL,Vulnerabilidad media-baja,2,13
11,BOGOTA,11001,BOGOTA,1100110000000011030206,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011030207,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011030208,ESPECIAL,Vulnerabilidad baja,1,6
11,BOGOTA,11001,BOGOTA,1100110000000011030215,ESPECIAL,Vulnerabilidad baja,1,23
11,BOGOTA,11001,BOGOTA,1100110000000011030216,ESPECIAL,Vulnerabilidad media-baja,2,8
11,BOGOTA,11001,BOGOTA,1100110000000011030220,ESPECIAL,Vulnerabilidad baja,1,29
11,BOGOTA,11001,BOGOTA,1100110000000011030221,ESPECIAL,Vulnerabilidad media-baja,2,5
11,BOGOTA,11001,BOGOTA,1100110000000011040102,ESPECIAL,Vulnerabilidad baja,1,25
11,BOGOTA,11001,BOGOTA,1100110000000011040104,ESPECIAL,Vulnerabilidad baja,1,15
11,BOGOTA,11001,BOGOTA,1100110000000011040106,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011040107,ESPECIAL,Vulnerabilidad baja,1,22
11,BOGOTA,11001,BOGOTA,1100110000000011040108,ESPECIAL,Vulnerabilidad media,3,18
11,BOGOTA,11001,BOGOTA,1100110000000011040110,ESPECIAL,Vulnerabilidad baja,1,18
11,BOGOTA,11001,BOGOTA,1100110000000011040111,ESPECIAL,Vulnerabilidad baja,1,26
11,BOGOTA,11001,BOGOTA,1100110000000011040112,ESPECIAL,Vulnerabilidad media-baja,2,35
11,BOGOTA,11001,BOGOTA,1100110000000011040115,ESPECIAL,Vulnerabilidad baja,1,13
11,BOGOTA,11001,BOGOTA,1100110000000011040116,ESPECIAL,Vulnerabilidad baja,1,12
11,BOGOTA,11001,BOGOTA,1100110000000011040117,ESPECIAL,Vulnerabilidad baja,1,17
11,BOGOTA,11001,BOGOTA,1100110000000011040118,ESPECIAL,Vulnerabilidad baja,1,12
11,BOGOTA,11001,BOGOTA,1100110000000011040121,ESPECIAL,Vulnerabilidad media,3,31
11,BOGOTA,11001,BOGOTA,1100110000000011040122,ESPECIAL,Vulnerabilidad baja,1,20
11,BOGOTA,11001,BOGOTA,1100110000000011040123,ESPECIAL,Vulnerabilidad baja,1,11
11,BOGOTA,11001,BOGOTA,1100110000000011040124,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011040126,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011040127,ESPECIAL,Vulnerabilidad baja,1,67
11,BOGOTA,11001,BOGOTA,1100110000000011040128,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011040129,ESPECIAL,Vulnerabilidad media-baja,2,7
11,BOGOTA,11001,BOGOTA,1100110000000011040130,ESPECIAL,Vulnerabilidad baja,1,11
11,BOGOTA,11001,BOGOTA,1100110000000011040131,ESPECIAL,Vulnerabilidad baja,1,38
11,BOGOTA,11001,BOGOTA,1100110000000011040132,ESPECIAL,Vulnerabilidad baja,1,18
11,BOGOTA,11001,BOGOTA,1100110000000011040133,ESPECIAL,Vulnerabilidad baja,1,13
11,BOGOTA,11001,BOGOTA,1100110000000011040134,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011040135,ESPECIAL,Vulnerabilidad baja,1,30
11,BOGOTA,11001,BOGOTA,1100110000000011040136,ESPECIAL,Vulnerabilidad baja,1,43
11,BOGOTA,11001,BOGOTA,1100110000000011040137,ESPECIAL,Vulnerabilidad baja,1,67
11,BOGOTA,11001,BOGOTA,1100110000000011040138,ESPECIAL,Vulnerabilidad baja,1,33
11,BOGOTA,11001,BOGOTA,1100110000000011040139,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011040140,ESPECIAL,Vulnerabilidad baja,1,17
11,BOGOTA,11001,BOGOTA,1100110000000011040141,ESPECIAL,Vulnerabilidad media-baja,2,30
11,BOGOTA,11001,BOGOTA,1100110000000011040142,ESPECIAL,Vulnerabilidad media-baja,2,43
11,BOGOTA,11001,BOGOTA,1100110000000011040143,ESPECIAL,Vulnerabilidad media-baja,2,32
11,BOGOTA,11001,BOGOTA,1100110000000011040144,ESPECIAL,Vulnerabilidad media-baja,2,36
11,BOGOTA,11001,BOGOTA,1100110000000011040145,ESPECIAL,Vulnerabilidad baja,1,31
11,BOGOTA,11001,BOGOTA,1100110000000011040146,ESPECIAL,Vulnerabilidad baja,1,33
11,BOGOTA,11001,BOGOTA,1100110000000011040147,ESPECIAL,Vulnerabilidad baja,1,16
11,BOGOTA,11001,BOGOTA,1100110000000011040148,ESPECIAL,Vulnerabilidad baja,1,42
11,BOGOTA,11001,BOGOTA,1100110000000011040149,ESPECIAL,Vulnerabilidad baja,1,40
11,BOGOTA,11001,BOGOTA,1100110000000011040150,ESPECIAL,Vulnerabilidad baja,1,71
11,BOGOTA,11001,BOGOTA,1100110000000011040201,ESPECIAL,Vulnerabilidad baja,1,19
11,BOGOTA,11001,BOGOTA,1100110000000011040202,ESPECIAL,Vulnerabilidad media-baja,2,20
11,BOGOTA,11001,BOGOTA,1100110000000011040203,ESPECIAL,Vulnerabilidad media-baja,2,18
11,BOGOTA,11001,BOGOTA,1100110000000011040204,ESPECIAL,Vulnerabilidad media-baja,2,20
11,BOGOTA,11001,BOGOTA,1100110000000011040205,ESPECIAL,Vulnerabilidad media-baja,2,35
